"DisplayName","DisplayVersion","Publisher","InstallDate"
"Source Switcher version 0.4.2","0.4.2","Exeldro","20230721"
"AMD GPIO2 Driver","2.2.0.133","Advanced Micro Devices, Inc.","20240613"
"JoyToKey version 6.5","6.5","JTK software","20230722"
"vs_minshellinteropsharedmsi","17.10.34804","Microsoft Corporation","20240526"
"Microsoft Windows Desktop Runtime - 8.0.7 (x86)","64.28.16739","Microsoft Corporation","20240710"
"Chrome Remote Desktop Host","125.0.6422.31","Google LLC","20240515"
"Entity Framework 6.2.0 Tools  for Visual Studio 2022","6.2.0.0","Microsoft Corporation","20240507"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20240501"
"Microsoft .NET Core SDK 2.1.300 (x64)","2.1.300","Microsoft Corporation",
"3Dconnexion 3DxWare 10","10.8.15.3625","3Dconnexion",
"AMD_Chipset_Drivers","6.05.28.016","Advanced Micro Devices, Inc.","20240613"
"VS Immersive Activate Helper","17.0.125.0","Microsoft Corporation","20240507"
